algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
4950, 1376, 3177, 631, 3463, 184, 156, 135
3601, 502, 617, 254, 11043, 349, 226, 200
64431, 1683, 21908, 147, 25523, 564, 295, 265
3964, 608, 311, 176, 49153, 829, 364, 330
2189, 652, 387, 262, 84183, 1144, 433, 395
2856, 468, 437, 1608, 132863, 1509, 501, 460
4019, 605, 464, 96, 197443, 1924, 570, 525
5265, 761, 537, 1474, 280173, 2389, 638, 590
6832, 912, 977, 97, 383303, 2904, 706, 655
8531, 1043, 588, 100, 509083, 3469, 774, 720
10744, 1463, 632, 110, 659763, 4084, 841, 785
14468, 1555, 887, 124, 837593, 4749, 909, 850
16045, 1696, 795, 186, 1044823, 5464, 977, 915
19598, 1971, 840, 199, 1283703, 6229, 1044, 980
23286, 2221, 1344, 138, 1556483, 7044, 1111, 1045
27018, 2424, 988, 141, 1865413, 7909, 1179, 1110
30930, 2694, 980, 143, 2212743, 8824, 1246, 1175
36094, 3059, 1021, 156, 2600723, 9789, 1313, 1240
42116, 3468, 1060, 178, 3031603, 10804, 1380, 1305
